context_0,context_1,context_2,context_3,context_4,context_5,context_6,context_7,context_8,context_9,prod_0_feat_0,prod_0_feat_1,prod_0_feat_2,prod_0_feat_3,prod_0_feat_4,prod_1_feat_0,prod_1_feat_1,prod_1_feat_2,prod_1_feat_3,prod_1_feat_4,prod_2_feat_0,prod_2_feat_1,prod_2_feat_2,prod_2_feat_3,prod_2_feat_4,prod_3_feat_0,prod_3_feat_1,prod_3_feat_2,prod_3_feat_3,prod_3_feat_4,prod_4_feat_0,prod_4_feat_1,prod_4_feat_2,prod_4_feat_3,prod_4_feat_4,choice,true_utility_0,true_utility_1,true_utility_2,true_utility_3,true_utility_4
0.93128014,-0.83921754,-0.3092124,0.33126342,0.9755451,-0.47917423,-0.18565898,-1.1063349,-1.1962066,0.8125258,-0.19423418,-0.4468348,-1.3536125,-1.0268083,1.5463388,-0.35744825,-0.40863088,-1.5204371,-0.46321672,0.96090245,0.5955515,0.8110993,-1.2035971,-1.2196177,1.1334357,0.82627416,-0.25846276,0.8530403,-1.2029964,-1.2444681,-1.6174612,0.36147043,0.21671787,-0.52241653,-0.7803926,3,-8.026716,-7.20903,-10.070014,2.6689703,-3.8774412
1.35624,-0.07201012,1.0035329,0.361636,-0.6451197,0.3613956,1.5380366,-0.03582604,1.5646436,-2.619745,2.4145486,-0.25913098,1.388067,-0.14634843,-0.5007127,1.4166595,0.78996414,-0.024109023,1.1337141,2.5203066,-0.7323534,0.47173664,-0.40921018,-0.93454105,-0.9622668,1.5923332,-1.8247606,0.50785935,-0.82524306,1.7724949,-0.27307665,-0.36400768,1.5695093,0.87680006,0.554227,2,-0.008735097,4.260794,1.931029,0.44197795,-4.8178167
0.8219025,0.08704707,-0.29900736,0.09176078,-1.9875689,-0.21967189,0.35711256,1.4778941,-0.5182702,-0.8084936,0.80581194,-1.0832735,0.7417132,-0.19905421,0.3609247,0.48455292,-1.110509,0.5938226,-0.18635729,-1.2399215,-0.14656581,0.020025114,0.59363186,-2.3882911,0.38813624,-0.5118601,0.80987346,-0.0018661463,-0.3333815,-0.1775004,0.33340976,0.9079094,-0.8911113,-0.34365985,1.469346,4,-6.957175,-12.191782,-5.430897,2.637001,9.190287
-0.501757,0.9154021,0.32875112,-0.5297602,0.51326746,0.09707755,0.968645,-0.70205307,-0.32766214,-0.39210814,-0.3611117,0.36724973,-1.2341919,-1.7145073,-1.0402049,-0.68989205,1.0399112,1.1495262,-1.9253203,-0.54124516,0.6977894,-0.105353124,1.5045584,0.67350096,-0.26768512,-0.17866938,-0.056789834,-0.8459574,0.9392141,0.74242884,0.45427078,0.24257469,-1.0181978,0.5041932,0.12910247,1,1.1629441,7.5317955,-0.0769371,-1.593772,-0.44351768
-1.4635149,0.2961203,0.26105526,0.005113457,-0.23458713,-1.4153707,-0.42064533,-0.34271452,-0.80227727,-0.16128571,2.002269,-1.2932911,-0.7232954,-1.5866445,-0.2180198,-1.7408993,1.1855017,1.0922374,-0.15963198,-1.0137218,-1.5241026,-0.70386463,0.6253714,-0.7870527,1.9085761,1.4906955,0.0008239434,-0.46186826,-0.5691959,1.5983768,-0.6566953,0.93436897,0.021792213,0.7135622,-0.8203973,1,-3.0846505,1.1736947,4.0941253,1.9868555,0.7559723
0.40405086,1.8861859,0.17457782,0.2575504,-0.07444592,-1.9187713,-0.026513875,0.06023021,2.463242,-0.19236097,-0.33291858,-0.024182519,-0.6313666,1.2492242,-0.76430815,-0.57703215,1.3587,1.1649272,1.5879787,-1.9082732,0.20072275,0.09028132,-0.5617329,0.3244594,-0.32144174,0.16199227,3.4018755,0.31713077,0.3591316,0.8212193,0.18064453,-1.0980327,-1.6467117,-0.029291064,-0.26911104,3,0.6545849,10.928507,0.8558769,16.564257,-4.9860177
0.30154735,-0.03471177,-1.168678,1.1428229,0.75193304,0.79103196,-0.90938747,1.4027944,-1.401851,0.5868571,-1.9636021,1.6293927,0.10700304,1.4394363,-2.2318623,1.458487,-0.48520508,1.2591579,0.21486847,0.45325655,0.45451704,-0.4251377,-0.6465147,-0.3611602,-1.4719092,-0.4807103,-0.69679147,-1.4959054,0.45866627,0.007717432,0.24604233,0.6974508,-0.23786005,-0.9387164,0.30394202,3,-4.2078257,-2.0085704,1.1793513,5.4634995,-1.8081264
2.1904557,-0.99053633,-0.5662977,0.09965137,-0.50347567,-1.5506635,0.06856298,-1.0623037,0.47359243,-0.91942424,-2.9221966,-0.108095095,0.7651686,1.0469253,-0.5294432,-2.2413871,-2.633266,0.6380521,-0.35398307,2.0172992,-1.4111036,0.3423359,1.6623516,0.20646194,-1.5919352,2.7726114,1.5805875,-0.22724602,0.81895405,0.82966113,0.6417711,-1.3817447,0.32415763,1.4607157,0.5045272,3,-0.73377955,-7.597599,-3.0096133,16.266674,13.271541
1.5499344,-0.7832533,-0.3220615,0.8135172,-1.2308643,0.22745994,1.3071427,-1.6074833,0.18463387,0.2598828,0.397151,-0.53682435,-0.90397865,-1.5725174,0.7574646,-0.22088434,-1.3413796,0.97640866,-0.5869111,-0.8578649,-0.496248,-0.19308926,0.45802206,-0.8753136,1.0103738,0.4842296,-0.51466274,-0.15978982,-0.42263094,0.06586473,1.519874,-0.4329363,0.18946582,-0.69858277,0.53195506,1,-11.756109,1.4828666,-3.6445358,-2.485623,-2.5316472
0.78182286,-1.2369508,-1.3204566,0.52194154,0.29698467,0.25049284,0.3464482,-0.68002474,0.2322537,0.29307246,0.27640665,1.3296177,-0.8291903,0.6905753,1.2640835,-0.43761775,-0.1269536,0.19073813,-0.23657867,0.1773192,0.6734362,-0.11397607,-0.1217988,0.2666618,-0.3991684,-0.34971327,-0.8988603,-0.042141452,0.44774985,-0.26913735,-0.77351105,-0.09621668,0.39708784,0.1279693,2.22955,3,-0.32224232,-1.267732,2.169298,3.1208425,-0.40330896
